x,y
1.396081936,24.99025288
2.093782686,24.97807075
2.79107525,24.9610191
3.487823687,24.93910126
4.183892167,24.91232148
4.879144988,24.880685
5.57344661,24.84419798
6.266661678,24.80286753
6.958655048,24.75670172
7.649291814,24.70570954
8.338437336,24.64990093
9.025957263,24.58928677
9.711717561,24.52387888
10.39558454,24.45369002
11.07742488,24.37873386
11.75710566,24.29902501
12.43449436,24.21457903
13.10945893,24.12541236
13.78186779,24.0315424
14.45158985,23.93298744
15.11849454,23.82976669
15.78245185,23.72190029
16.44333234,23.60940926
17.10100717,23.49231552
17.75534812,23.37064191
18.40622763,23.24441215
19.05351882,23.11365084
19.69709548,22.97838348
20.33683215,22.83863644
20.97260412,22.69443696
21.60428744,22.54581316
22.23175896,22.39279401
22.85489635,22.23540933
23.47357814,22.07368982
24.08768371,21.907667
24.69709333,21.73737324
25.30168821,21.56284173
25.90135047,21.3841065
26.49596321,21.2012024
27.08541051,21.01416509
27.66957746,20.82303102
28.24835017,20.62783746
28.82161581,20.42862246
29.38926261,20.22542486
29.95117993,20.01828427
30.5072582,19.80724108
31.05738901,19.59233643
31.60146513,19.37361222
32.13938048,19.15111108
32.6710302,18.92487639
33.19631063,18.69495226
33.71511938,18.46138352
34.2273553,18.22421569
34.73291852,17.98349501
35.2317105,17.73926841
35.72363398,17.49158351
36.20859307,17.24048859
36.68649323,16.98603261
37.15724127,16.72826516
37.62074544,16.4672365
38.07691538,16.20299753
38.52566214,15.93559974
38.96689825,15.66509528
39.40053768,15.39153688
39.8264959,15.11497787
40.24468987,14.83547217
40.65503805,14.55307425
41.05746046,14.26783919
41.45187863,13.97982259
41.83821567,13.68908059
42.21639628,13.39566987
42.58634671,13.09964765
42.94799485,12.80107162
43.30127019,12.5
43.64610386,12.19649148
43.98242864,11.89060523
44.31017896,11.58240088
44.62929092,11.27193852
44.93970231,10.95927867
45.24135262,10.64448229
45.53418304,10.32761075
45.81813648,10.00872581
46.09315758,9.687889661
46.35919273,9.365164835
46.61619006,9.040614252
46.86409947,8.714301183
47.10287264,8.386289244
47.33246301,8.056642381
47.55282581,7.725424859
47.76391811,7.392701251
47.96569873,7.058536421
48.15812834,6.722995515
48.34116943,6.386143948
48.51478631,6.04804739
48.67894514,5.708771753
48.83361392,5.368383179
48.97876248,5.026948029
49.11436254,4.684532865
49.24038765,4.341204442
49.35681325,3.997029692
49.46361665,3.652075714
49.56077701,3.306409756
49.64827541,2.960099208
49.72609477,2.613211582
49.79421993,2.265814505
49.85263761,1.917975703
49.90133642,1.569762988
49.94030687,1.221244245
49.96954135,0.872487418
49.98903417,0.523560497
49.99878154,0.174531507
49.99878154,-0.174531507
49.98903417,-0.523560497
49.96954135,-0.872487418
49.94030687,-1.221244245
49.90133642,-1.569762988
49.85263761,-1.917975703
49.79421993,-2.265814505
49.72609477,-2.613211582
49.64827541,-2.960099208
49.56077701,-3.306409756
49.46361665,-3.652075714
49.35681325,-3.997029692
49.24038765,-4.341204442
49.11436254,-4.684532865
48.97876248,-5.026948029
48.83361392,-5.368383179
48.67894514,-5.708771753
48.51478631,-6.04804739
48.34116943,-6.386143948
48.15812834,-6.722995515
47.96569873,-7.058536421
47.76391811,-7.392701251
47.55282581,-7.725424859
47.33246301,-8.056642381
47.10287264,-8.386289244
46.86409947,-8.714301183
46.61619006,-9.040614252
46.35919273,-9.365164835
46.09315758,-9.687889661
45.81813648,-10.00872581
45.53418304,-10.32761075
45.24135262,-10.64448229
44.93970231,-10.95927867
44.62929092,-11.27193852
44.31017896,-11.58240088
43.98242864,-11.89060523
43.64610386,-12.19649148
43.30127019,-12.5
42.94799485,-12.80107162
42.58634671,-13.09964765
42.21639628,-13.39566987
41.83821567,-13.68908059
41.45187863,-13.97982259
41.05746046,-14.26783919
40.65503805,-14.55307425
40.24468987,-14.83547217
39.8264959,-15.11497787
39.40053768,-15.39153688
38.96689825,-15.66509528
38.52566214,-15.93559974
38.07691538,-16.20299753
37.62074544,-16.4672365
37.15724127,-16.72826516
36.68649323,-16.98603261
36.20859307,-17.24048859
35.72363398,-17.49158351
35.2317105,-17.73926841
34.73291852,-17.98349501
34.2273553,-18.22421569
33.71511938,-18.46138352
33.19631063,-18.69495226
32.6710302,-18.92487639
32.13938048,-19.15111108
31.60146513,-19.37361222
31.05738901,-19.59233643
30.5072582,-19.80724108
29.95117993,-20.01828427
29.38926261,-20.22542486
28.82161581,-20.42862246
28.24835017,-20.62783746
27.66957746,-20.82303102
27.08541051,-21.01416509
26.49596321,-21.2012024
25.90135047,-21.3841065
25.30168821,-21.56284173
24.69709333,-21.73737324
24.08768371,-21.907667
23.47357814,-22.07368982
22.85489635,-22.23540933
22.23175896,-22.39279401
21.60428744,-22.54581316
20.97260412,-22.69443696
20.33683215,-22.83863644
19.69709548,-22.97838348
19.05351882,-23.11365084
18.40622763,-23.24441215
17.75534812,-23.37064191
17.10100717,-23.49231552
16.44333234,-23.60940926
15.78245185,-23.72190029
15.11849454,-23.82976669
14.45158985,-23.93298744
13.78186779,-24.0315424
13.10945893,-24.12541236
12.43449436,-24.21457903
11.75710566,-24.29902501
11.07742488,-24.37873386
10.39558454,-24.45369002
9.711717561,-24.52387888
9.025957263,-24.58928677
8.338437336,-24.64990093
7.649291814,-24.70570954
6.958655048,-24.75670172
6.266661678,-24.80286753
5.57344661,-24.84419798
4.879144988,-24.880685
4.183892167,-24.91232148
3.487823687,-24.93910126
2.79107525,-24.9610191
2.093782686,-24.97807075
1.396081936,-24.99025288
0.698109017,-24.9975631
6.12E-15,-25
-0.698109017,-24.9975631
-1.396081936,-24.99025288
-2.093782686,-24.97807075
-2.79107525,-24.9610191
-3.487823687,-24.93910126
-4.183892167,-24.91232148
-4.879144988,-24.880685
-5.57344661,-24.84419798
-6.266661678,-24.80286753
-6.958655048,-24.75670172
-7.649291814,-24.70570954
-8.338437336,-24.64990093
-9.025957263,-24.58928677
-9.711717561,-24.52387888
-10.39558454,-24.45369002
-11.07742488,-24.37873386
-11.75710566,-24.29902501
-12.43449436,-24.21457903
-13.10945893,-24.12541236
-13.78186779,-24.0315424
-14.45158985,-23.93298744
-15.11849454,-23.82976669
-15.78245185,-23.72190029
-16.44333234,-23.60940926
-17.10100717,-23.49231552
-17.75534812,-23.37064191
-18.40622763,-23.24441215
-19.05351882,-23.11365084
-19.69709548,-22.97838348
-20.33683215,-22.83863644
-20.97260412,-22.69443696
-21.60428744,-22.54581316
-22.23175896,-22.39279401
-22.85489635,-22.23540933
-23.47357814,-22.07368982
-24.08768371,-21.907667
-24.69709333,-21.73737324
-25.30168821,-21.56284173
-25.90135047,-21.3841065
-26.49596321,-21.2012024
-27.08541051,-21.01416509
-27.66957746,-20.82303102
-28.24835017,-20.62783746
-28.82161581,-20.42862246
-29.38926261,-20.22542486
-29.95117993,-20.01828427
-30.5072582,-19.80724108
-31.05738901,-19.59233643
-31.60146513,-19.37361222
-32.13938048,-19.15111108
-32.6710302,-18.92487639
-33.19631063,-18.69495226
-33.71511938,-18.46138352
-34.2273553,-18.22421569
-34.73291852,-17.98349501
-35.2317105,-17.73926841
-35.72363398,-17.49158351
-36.20859307,-17.24048859
-36.68649323,-16.98603261
-37.15724127,-16.72826516
-37.62074544,-16.4672365
-38.07691538,-16.20299753
-38.52566214,-15.93559974
-38.96689825,-15.66509528
-39.40053768,-15.39153688
-39.8264959,-15.11497787
-40.24468987,-14.83547217
-40.65503805,-14.55307425
-41.05746046,-14.26783919
-41.45187863,-13.97982259
-41.83821567,-13.68908059
-42.21639628,-13.39566987
-42.58634671,-13.09964765
-42.94799485,-12.80107162
-43.30127019,-12.5
-43.64610386,-12.19649148
-43.98242864,-11.89060523
-44.31017896,-11.58240088
-44.62929092,-11.27193852
-44.93970231,-10.95927867
-45.24135262,-10.64448229
-45.53418304,-10.32761075
-45.81813648,-10.00872581
-46.09315758,-9.687889661
-46.35919273,-9.365164835
-46.61619006,-9.040614252
-46.86409947,-8.714301183
-47.10287264,-8.386289244
-47.33246301,-8.056642381
-47.55282581,-7.725424859
-47.76391811,-7.392701251
-47.96569873,-7.058536421
-48.15812834,-6.722995515
-48.34116943,-6.386143948
-48.51478631,-6.04804739
-48.67894514,-5.708771753
-48.83361392,-5.368383179
-48.97876248,-5.026948029
-49.11436254,-4.684532865
-49.24038765,-4.341204442
-49.35681325,-3.997029692
-49.46361665,-3.652075714
-49.56077701,-3.306409756
-49.64827541,-2.960099208
-49.72609477,-2.613211582
-49.79421993,-2.265814505
-49.85263761,-1.917975703
-49.90133642,-1.569762988
-49.94030687,-1.221244245
-49.96954135,-0.872487418
-49.98903417,-0.523560497
-49.99878154,-0.174531507
-49.99878154,0.174531507
-49.98903417,0.523560497
-49.96954135,0.872487418
-49.94030687,1.221244245
-49.90133642,1.569762988
-49.85263761,1.917975703
-49.79421993,2.265814505
-49.72609477,2.613211582
-49.64827541,2.960099208
-49.56077701,3.306409756
-49.46361665,3.652075714
-49.35681325,3.997029692
-49.24038765,4.341204442
-49.11436254,4.684532865
-48.97876248,5.026948029
-48.83361392,5.368383179
-48.67894514,5.708771753
-48.51478631,6.04804739
-48.34116943,6.386143948
-48.15812834,6.722995515
-47.96569873,7.058536421
-47.76391811,7.392701251
-47.55282581,7.725424859
-47.33246301,8.056642381
-47.10287264,8.386289244
-46.86409947,8.714301183
-46.61619006,9.040614252
-46.35919273,9.365164835
-46.09315758,9.687889661
-45.81813648,10.00872581
-45.53418304,10.32761075
-45.24135262,10.64448229
-44.93970231,10.95927867
-44.62929092,11.27193852
-44.31017896,11.58240088
-43.98242864,11.89060523
-43.64610386,12.19649148
-43.30127019,12.5
-42.94799485,12.80107162
-42.58634671,13.09964765
-42.21639628,13.39566987
-41.83821567,13.68908059
-41.45187863,13.97982259
-41.05746046,14.26783919
-40.65503805,14.55307425
-40.24468987,14.83547217
-39.8264959,15.11497787
-39.40053768,15.39153688
-38.96689825,15.66509528
-38.52566214,15.93559974
-38.07691538,16.20299753
-37.62074544,16.4672365
-37.15724127,16.72826516
-36.68649323,16.98603261
-36.20859307,17.24048859
-35.72363398,17.49158351
-35.2317105,17.73926841
-34.73291852,17.98349501
-34.2273553,18.22421569
-33.71511938,18.46138352
-33.19631063,18.69495226
-32.6710302,18.92487639
-32.13938048,19.15111108
-31.60146513,19.37361222
-31.05738901,19.59233643
-30.5072582,19.80724108
-29.95117993,20.01828427
-29.38926261,20.22542486
-28.82161581,20.42862246
-28.24835017,20.62783746
-27.66957746,20.82303102
-27.08541051,21.01416509
-26.49596321,21.2012024
-25.90135047,21.3841065
-25.30168821,21.56284173
-24.69709333,21.73737324
-24.08768371,21.907667
-23.47357814,22.07368982
-22.85489635,22.23540933
-22.23175896,22.39279401
-21.60428744,22.54581316
-20.97260412,22.69443696
-20.33683215,22.83863644
-19.69709548,22.97838348
-19.05351882,23.11365084
-18.40622763,23.24441215
-17.75534812,23.37064191
-17.10100717,23.49231552
-16.44333234,23.60940926
-15.78245185,23.72190029
-15.11849454,23.82976669
-14.45158985,23.93298744
-13.78186779,24.0315424
-13.10945893,24.12541236
-12.43449436,24.21457903
-11.75710566,24.29902501
-11.07742488,24.37873386
-10.39558454,24.45369002
-9.711717561,24.52387888
-9.025957263,24.58928677
-8.338437336,24.64990093
-7.649291814,24.70570954
-6.958655048,24.75670172
-6.266661678,24.80286753
-5.57344661,24.84419798
-4.879144988,24.880685
-4.183892167,24.91232148
-3.487823687,24.93910126
-2.79107525,24.9610191
-2.093782686,24.97807075
-1.396081936,24.99025288
-0.698109017,24.9975631
-1.22E-14,25
0.698109017,24.9975631
